Date,Open,High,Low,Close,Volume
2024-09-01,0.2796,0.2804,0.2654,0.2676,1778168.0
2024-09-02,0.2675,0.2797,0.2659,0.277,1459514.0
2024-09-03,0.277,0.2819,0.2629,0.2631,1624688.0
2024-09-04,0.2629,0.271,0.251,0.2674,1608536.0
2024-09-05,0.2674,0.2696,0.2569,0.2591,1164244.0
2024-09-06,0.259,0.2673,0.2423,0.252,2141619.0
2024-09-07,0.252,0.2614,0.2517,0.256,1036359.0
2024-09-08,0.256,0.2645,0.2547,0.2622,1349980.0
2024-09-09,0.2621,0.2735,0.2615,0.27,1723374.0
2024-09-10,0.2702,0.2767,0.2668,0.2741,1717549.0
2024-09-11,0.2739,0.2741,0.262,0.2702,1879348.0
2024-09-12,0.2699,0.2786,0.2696,0.2782,1219690.0
2024-09-13,0.2781,0.2847,0.2744,0.2836,1854102.0
2024-09-14,0.2837,0.285,0.2778,0.28,1268670.0
2024-09-15,0.2798,0.2802,0.2657,0.2673,1517799.0
2024-09-16,0.2671,0.2733,0.2629,0.2654,2209620.0
2024-09-17,0.2654,0.2748,0.2634,0.2705,1151410.0
2024-09-18,0.2706,0.2779,0.2607,0.2779,2082649.0
2024-09-19,0.2779,0.2899,0.2745,0.2882,2509874.0
2024-09-20,0.2882,0.3152,0.2828,0.3025,11306480.0
2024-09-21,0.3024,0.3899,0.2996,0.3457,75273979.0
2024-09-22,0.3456,0.3456,0.3031,0.3109,15863205.0
2024-09-23,0.3111,0.3182,0.3023,0.3086,10361180.0
2024-09-24,0.3086,0.3331,0.3084,0.3229,15800325.0
