Date,Open,High,Low,Close,Volume
2024-09-01,0.081,0.0811,0.0741,0.0749,21720591.0
2024-09-02,0.0749,0.0804,0.0746,0.08,15009362.0
2024-09-03,0.08,0.0813,0.0753,0.0754,10496586.0
2024-09-04,0.0755,0.0793,0.0715,0.0775,19468604.0
2024-09-05,0.0775,0.0782,0.0737,0.0748,10501275.0
2024-09-06,0.0748,0.0766,0.0692,0.0716,31857444.0
2024-09-07,0.0716,0.075,0.0712,0.0729,13813240.0
2024-09-08,0.0729,0.0765,0.0728,0.0756,9686144.0
2024-09-09,0.0756,0.0815,0.0748,0.0802,11843294.0
2024-09-10,0.0801,0.0829,0.0789,0.0815,12915691.0
2024-09-11,0.0816,0.0816,0.0764,0.0796,32405723.0
2024-09-12,0.0795,0.0843,0.0795,0.0839,13315869.0
2024-09-13,0.0839,0.0864,0.0817,0.0861,13115179.0
2024-09-14,0.0861,0.0877,0.084,0.0876,10744520.0
2024-09-15,0.0877,0.0906,0.0847,0.0861,21678896.0
2024-09-16,0.0859,0.0889,0.0812,0.0828,17269211.0
2024-09-17,0.0827,0.0886,0.0817,0.0865,16702477.0
2024-09-18,0.0865,0.0887,0.0832,0.0887,13257313.0
2024-09-19,0.0888,0.0937,0.0888,0.0917,12504158.0
2024-09-20,0.0918,0.0953,0.0907,0.0938,14774218.0
2024-09-21,0.0938,0.095,0.0912,0.0939,13041595.0
2024-09-22,0.0938,0.0938,0.0876,0.0901,11464446.0
2024-09-23,0.09,0.096,0.0884,0.0954,10877737.0
2024-09-24,0.0954,0.0984,0.0934,0.0975,10722539.0
