Date,Open,High,Low,Close,Volume
2024-09-01,0.647,0.65,0.6,0.609,4913979.7
2024-09-02,0.608,0.672,0.607,0.66,6202856.1
2024-09-03,0.661,0.672,0.614,0.615,4220309.5
2024-09-04,0.615,0.657,0.583,0.647,6188124.1
2024-09-05,0.647,0.655,0.622,0.626,6122900.4
2024-09-06,0.627,0.656,0.587,0.613,11426402.7
2024-09-07,0.614,0.65,0.611,0.628,5994222.0
2024-09-08,0.628,0.675,0.625,0.658,12097251.6
2024-09-09,0.658,0.688,0.646,0.677,8238145.6
2024-09-10,0.677,0.712,0.666,0.702,9122415.3
2024-09-11,0.702,0.704,0.648,0.661,11798700.6
2024-09-12,0.661,0.683,0.652,0.677,7501614.7
2024-09-13,0.676,0.714,0.666,0.702,9446995.6
2024-09-14,0.703,0.725,0.688,0.7,8166489.0
2024-09-15,0.699,0.712,0.663,0.669,7446643.8
2024-09-16,0.669,0.676,0.633,0.645,8449999.6
2024-09-17,0.644,0.726,0.637,0.713,13219194.4
2024-09-18,0.713,0.732,0.672,0.732,12696617.8
