Date,Open,High,Low,Close,Volume
2024-09-01,13.8,13.95,13.34,13.47,40838.6817
2024-09-02,13.47,14.27,13.27,14.14,46098.5963
2024-09-03,14.15,14.28,13.47,13.49,52222.6414
2024-09-04,13.5,13.91,12.67,13.61,63182.9791
2024-09-05,13.6,13.66,12.82,13.0,36404.5859
2024-09-06,12.99,13.37,12.24,12.64,46582.7418
2024-09-07,12.65,13.16,12.43,12.68,40117.7284
2024-09-08,12.66,13.21,12.56,13.02,39309.6633
2024-09-09,13.03,13.82,12.94,13.4,99023.2097
2024-09-10,13.39,13.99,13.09,13.97,43531.8539
2024-09-11,13.97,14.46,13.09,13.61,156613.4081
2024-09-12,13.6,14.06,13.56,13.93,38061.2602
2024-09-13,13.95,14.37,13.72,14.33,36370.7878
2024-09-14,14.33,14.41,14.07,14.14,19486.1913
2024-09-15,14.15,14.32,13.44,13.67,25353.6981
2024-09-16,13.68,13.69,13.03,13.15,37651.6449
2024-09-17,13.15,13.56,12.71,13.03,63409.7297
2024-09-18,13.04,13.47,12.71,13.46,53222.7048
