Date,Open,High,Low,Close,Volume
2024-09-01,22.8,22.84,21.09,21.42,1701717.55
2024-09-02,21.42,22.57,21.37,22.37,1213729.2
2024-09-03,22.37,22.73,21.33,21.38,1165499.01
2024-09-04,21.38,22.32,20.48,21.9,1783124.44
2024-09-05,21.91,22.19,21.23,21.38,1130561.49
2024-09-06,21.38,22.19,20.48,21.17,2491055.66
2024-09-07,21.16,22.0,21.05,21.8,951544.49
2024-09-08,21.8,23.52,21.71,23.25,1913376.33
2024-09-09,23.25,24.44,23.14,23.84,2082195.37
2024-09-10,23.85,24.59,23.57,24.36,1441227.33
2024-09-11,24.36,24.52,22.87,23.28,1685272.65
2024-09-12,23.28,24.1,23.27,24.02,1532687.18
2024-09-13,24.02,25.1,23.66,24.91,1883781.59
2024-09-14,24.91,25.66,24.61,25.32,1199130.86
2024-09-15,25.33,25.38,23.64,23.8,1451892.29
2024-09-16,23.8,24.24,23.22,23.52,1751162.34
2024-09-17,23.52,24.49,23.16,23.77,1583225.8
2024-09-18,23.78,24.73,22.79,24.68,2073720.9
