Date,Open,High,Low,Close,Volume
2024-09-01,1.489,1.495,1.428,1.435,293905.0
2024-09-02,1.434,1.522,1.421,1.514,343814.6
2024-09-03,1.514,1.55,1.473,1.491,520780.5
2024-09-04,1.492,1.545,1.418,1.515,496088.4
2024-09-05,1.514,1.523,1.401,1.418,370434.2
2024-09-06,1.419,1.468,1.308,1.371,943511.5
2024-09-07,1.372,1.391,1.315,1.337,843142.5
2024-09-08,1.337,1.421,1.327,1.399,462576.7
2024-09-09,1.403,1.467,1.393,1.45,488222.7
2024-09-10,1.45,1.536,1.442,1.506,727261.4
2024-09-11,1.506,1.507,1.434,1.444,514796.0
2024-09-12,1.444,1.513,1.444,1.512,253926.8
2024-09-13,1.512,1.525,1.453,1.517,305163.6
2024-09-14,1.517,1.537,1.484,1.492,480603.0
2024-09-15,1.492,1.532,1.417,1.439,384861.8
2024-09-16,1.438,1.442,1.39,1.402,349986.5
2024-09-17,1.401,1.464,1.391,1.436,337243.7
2024-09-18,1.437,1.496,1.399,1.495,631265.9
