Date,Open,High,Low,Close,Volume
2024-09-01,0.0589,0.0592,0.0535,0.0542,30549836.0
2024-09-02,0.0541,0.0577,0.0537,0.0574,25134501.0
2024-09-03,0.0574,0.0635,0.0573,0.0583,55908795.0
2024-09-04,0.0583,0.0597,0.0554,0.0568,41751304.0
2024-09-05,0.0568,0.0573,0.0533,0.0539,22127346.0
2024-09-06,0.0538,0.0557,0.0487,0.0503,50796528.0
2024-09-07,0.0503,0.0513,0.0493,0.0502,18765566.0
2024-09-08,0.0502,0.053,0.05,0.0526,12259434.0
2024-09-09,0.0526,0.0551,0.0519,0.0546,16417182.0
2024-09-10,0.0544,0.0568,0.0539,0.0563,18069666.0
2024-09-11,0.0563,0.0565,0.0532,0.0547,31964401.0
2024-09-12,0.0546,0.0572,0.0545,0.0572,12723147.0
2024-09-13,0.0572,0.0585,0.0554,0.0582,10658440.0
2024-09-14,0.0585,0.0586,0.0565,0.0576,11937783.0
2024-09-15,0.0576,0.0582,0.0539,0.0545,10802905.0
2024-09-16,0.0545,0.0553,0.051,0.0515,18381875.0
2024-09-17,0.0516,0.0546,0.0507,0.0537,13146989.0
2024-09-18,0.0537,0.0563,0.0522,0.0562,24322609.0
2024-09-19,0.0563,0.0592,0.0562,0.058,23041141.0
2024-09-20,0.058,0.0613,0.0573,0.0607,22538042.0
2024-09-21,0.0607,0.0623,0.0595,0.0621,16857682.0
2024-09-22,0.0621,0.0621,0.0582,0.06,12977729.0
2024-09-23,0.06,0.0619,0.0587,0.0614,13222622.0
2024-09-24,0.0614,0.0631,0.06,0.0626,16206860.0
